origin_port,origin_region,cargo,destination_port,cargo_distance_m,displayed_sell_value_gbp,distance_status,value_status,source_recording,extraction_pass,supporting_frame_count,distinct_ocr_tuples_seen
Caye Tiburon,Blacktip Shoals,Hay,Port Louis,6761.8,153,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,Port Royal,4002.5,117,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,17,1
Caye Tiburon,Blacktip Shoals,Hay,Port-Au-Croix,5595.3,138,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,Princeton,3646.8,112,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,15,1
Caye Tiburon,Blacktip Shoals,Hay,Puerto de San Fernando,7953.0,168,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Caye Tiburon,Blacktip Shoals,Hay,Saint Vincent,5551.7,137,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,Saint-Nicholas,5376.4,135,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,9,1
Caye Tiburon,Blacktip Shoals,Hay,Sainte Rose,9818.9,193,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Caye Tiburon,Blacktip Shoals,Hay,San Polo,7781.3,166,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,San Salvador,8225.6,172,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,San Vito,4770.6,127,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,11,1
Caye Tiburon,Blacktip Shoals,Hay,Sandy Settlement,5207.3,133,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,9,1
Caye Tiburon,Blacktip Shoals,Hay,Santa Maria,8660.4,178,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Caye Tiburon,Blacktip Shoals,Hay,Sao Bento,11617.1,216,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Caye Tiburon,Blacktip Shoals,Hay,Snake Prosper,7098.1,157,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Caye Tiburon,Blacktip Shoals,Hay,Sugar Cove,8037.7,169,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Caye Tiburon,Blacktip Shoals,Hay,Taylor's Town,5194.3,133,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Caye Tiburon,Blacktip Shoals,Hay,Theresa,5784.5,140,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,Thresher Point,1338.3,82,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Caye Tiburon,Blacktip Shoals,Hay,Venta Nueva,8284.2,173,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,Villarreal Del Mar,7010.9,156,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,2
Caye Tiburon,Blacktip Shoals,Hay,White Hook,8303.0,173,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,Wyntergard,8715.9,178,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Caye Tiburon,Blacktip Shoals,Hay,Yorinobu's Settlement,3925.4,116,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,3,1
Cumberland Hill,New Catalina,Coffee,Al-Jazair,4554.4,124,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,9,1
Cumberland Hill,New Catalina,Coffee,Ashbourne,8782.0,179,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Belfry Heights,8206.6,172,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Bucket Bay,7510.5,163,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Caledonia,4133.3,119,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Castle Landing,3107.9,105,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Cumberland Hill,New Catalina,Coffee,Caveira,17164.6,288,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Caye Tiburon,7394.5,161,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Crownstead,9488.9,188,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Deadman's Murcia,4950.6,129,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,1
Cumberland Hill,New Catalina,Coffee,Fair Harbour,6697.3,152,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,9,2
Cumberland Hill,New Catalina,Coffee,Falmouth,11517.5,215,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Gyldenvale,9606.0,190,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Jones' Outpost,984.8,78,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Cumberland Hill,New Catalina,Coffee,Kandlerova,15145.4,262,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,La Povenglia,12098.7,222,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Lebarde,4773.3,127,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,9,1
Cumberland Hill,New Catalina,Coffee,Lord Irving's Sacrifice,10425.6,201,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,2
Cumberland Hill,New Catalina,Coffee,Louisbourg,12044.4,222,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Madalena,18969.0,312,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Mako's Outlook,10243.6,198,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Matthew's Rest,8313.6,173,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,3,2
Cumberland Hill,New Catalina,Coffee,Maurepas,11228.1,211,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,2
Cumberland Hill,New Catalina,Coffee,New Brighton,5912.6,142,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,New Catalina,554.4,72,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Cumberland Hill,New Catalina,Coffee,Pachard Town,9067.7,183,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Peter's Cove,8010.9,169,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,2
Cumberland Hill,New Catalina,Coffee,Petit Anvers,12552.3,228,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Cumberland Hill,New Catalina,Coffee,Poblado de San Juan,16452.8,279,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Point Rocheux,11152.4,210,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,2
Cumberland Hill,New Catalina,Coffee,Ponta Delgada,18572.2,306,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Port Antonio,12504.4,228,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Cumberland Hill,New Catalina,Coffee,Port Louis,7067.7,157,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Cumberland Hill,New Catalina,Coffee,Port Royal,11217.8,211,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,2
Cumberland Hill,New Catalina,Coffee,Port-Au-Croix,10105.4,196,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,1,3
Cumberland Hill,New Catalina,Coffee,Princeton,3827.1,115,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Puerto de San Fernando,14969.9,260,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Saint Vincent,5156.4,132,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,1
Cumberland Hill,New Catalina,Coffee,Saint-Nicholas,7809.5,167,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Cumberland Hill,New Catalina,Coffee,Sainte Rose,13225.6,237,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Cumberland Hill,New Catalina,Coffee,San Polo,4210.9,250,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,1,3
Cumberland Hill,New Catalina,Coffee,San Salvador,15612.7,268,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,San Vito,11516.6,215,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Sandy Settlement,8198.5,172,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Santa Maria,15993.8,273,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Sao Bento,17784.5,296,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Snake Prosper,4215.2,120,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Sugar Cove,1099.3,79,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Cumberland Hill,New Catalina,Coffee,Taylor's Town,6319.9,147,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Theresa,12775.7,231,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Cumberland Hill,New Catalina,Coffee,Thresher Point,7342.8,160,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Cumberland Hill,New Catalina,Coffee,Venta Nueva,14294.7,251,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Cumberland Hill,New Catalina,Coffee,Villarreal Del Mar,2993.2,234,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Cumberland Hill,New Catalina,Coffee,White Hook,4521.5,124,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,9,1
Cumberland Hill,New Catalina,Coffee,Wyntergard,8432.5,175,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Cumberland Hill,New Catalina,Coffee,Yorinobu's Settlement,6402.0,148,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,3,2
Deadman's Murcia,East Somerset,Oranges,Al-Jazair,3351.1,142,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Deadman's Murcia,East Somerset,Oranges,Ashbourne,4213.4,157,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,10,1
Deadman's Murcia,East Somerset,Oranges,Belfry Heights,9207.7,242,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,3,1
Deadman's Murcia,East Somerset,Oranges,Bucket Bay,4365.0,159,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Deadman's Murcia,East Somerset,Oranges,Caledonia,817.3,99,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Deadman's Murcia,East Somerset,Oranges,Castle Landing,5922.5,186,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Deadman's Murcia,East Somerset,Oranges,Caveira,14846.5,337,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,2
Deadman's Murcia,East Somerset,Oranges,Caye Tiburon,7736.1,217,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Deadman's Murcia,East Somerset,Oranges,Crownstead,4785.3,166,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Deadman's Murcia,East Somerset,Oranges,Cumberland Hill,4950.6,169,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,2
Deadman's Murcia,East Somerset,Oranges,Fair Harbour,3057.5,137,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Deadman's Murcia,East Somerset,Oranges,Falmouth,9554.2,247,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Deadman's Murcia,East Somerset,Oranges,Gyldenvale,4686.6,165,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,1
Deadman's Murcia,East Somerset,Oranges,Jones' Outpost,4126.3,155,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,10,1
Deadman's Murcia,East Somerset,Oranges,Kandlerova,16428.5,364,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Deadman's Murcia,East Somerset,Oranges,La Povenglia,13656.5,317,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,2
Deadman's Murcia,East Somerset,Oranges,Lebarde,6725.5,199,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Deadman's Murcia,East Somerset,Oranges,Lord Irving's Sacrifice,10507.3,264,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Deadman's Murcia,East Somerset,Oranges,Louisbourg,8012.3,221,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,1
Deadman's Murcia,East Somerset,Oranges,Madalena,16409.4,364,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Deadman's Murcia,East Somerset,Oranges,Mako's Outlook,10690.0,267,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Deadman's Murcia,East Somerset,Oranges,Matthew's Rest,5248.1,174,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,9,1
Deadman's Murcia,East Somerset,Oranges,Maurepas,7336.1,210,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,7,1
Deadman's Murcia,East Somerset,Oranges,New Brighton,4804.1,167,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,1
Deadman's Murcia,East Somerset,Oranges,New Catalina,5338.4,176,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Deadman's Murcia,East Somerset,Oranges,Pachard Town,6250.0,191,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,8,1
Deadman's Murcia,East Somerset,Oranges,Peter's Cove,10473.4,263,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Deadman's Murcia,East Somerset,Oranges,Petit Anvers,8120.9,223,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,1
Deadman's Murcia,East Somerset,Oranges,Poblado de San Juan,15374.9,346,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Deadman's Murcia,East Somerset,Oranges,Point Rocheux,8275.7,226,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,1
Deadman's Murcia,East Somerset,Oranges,Ponta Delgada,15340.2,346,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Deadman's Murcia,East Somerset,Oranges,Port Antonio,10663.4,266,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,1,1
Deadman's Murcia,East Somerset,Oranges,Port Louis,2879.2,134,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Deadman's Murcia,East Somerset,Oranges,Port Royal,10361.5,261,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Deadman's Murcia,East Somerset,Oranges,Port-Au-Croix,7213.1,208,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Deadman's Murcia,East Somerset,Oranges,Princeton,4904.8,168,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,1
Deadman's Murcia,East Somerset,Oranges,Puerto de San Fernando,13334.5,312,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Deadman's Murcia,East Somerset,Oranges,Saint Vincent,2290.9,124,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Deadman's Murcia,East Somerset,Oranges,Saint-Nicholas,10926.1,271,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Deadman's Murcia,East Somerset,Oranges,Sainte Rose,9131.1,240,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,5,1
Deadman's Murcia,East Somerset,Oranges,San Polo,15512.1,349,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Deadman's Murcia,East Somerset,Oranges,San Salvador,15241.4,344,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,4,2
Deadman's Murcia,East Somerset,Oranges,San Vito,12506.6,298,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,2,2
Deadman's Murcia,East Somerset,Oranges,Sandy Settlement,1126.1,274,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,2
Deadman's Murcia,East Somerset,Oranges,Santa Maria,14975.4,340,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,2
Deadman's Murcia,East Somerset,Oranges,Sao Bento,14970.0,339,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,9,1
Deadman's Murcia,East Somerset,Oranges,Snake Prosper,852.5,99,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
Deadman's Murcia,East Somerset,Oranges,Sugar Cove,6009.9,187,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,pooled_even_odd_wide,6,1
